surface,tourney_level,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,A,106293,Kimmer Coppejans,R,178.0,BEL,29.6,206499,Aleksandar Kovacevic,R,183.0,USA,25.0,7-6(4) 6-1,3,R32,83.0,12.0,1.0,54.0,35.0,30.0,15.0,10.0,0.0,0.0,7.0,3.0,48.0,26.0,25.0,9.0,9.0,0.0,2.0,186.0,326.0,116.0,524.0
Hard,A,111456,Mackenzie Mcdonald,R,178.0,USA,28.4,209992,Juncheng Shang,L,180.0,CHN,18.6,6-4 6-7(3) 6-3,3,R32,156.0,8.0,1.0,90.0,63.0,51.0,13.0,16.0,1.0,3.0,5.0,5.0,96.0,53.0,41.0,20.0,15.0,3.0,7.0,39.0,1120.0,158.0,397.0
Hard,A,124186,Alexandre Muller,R,183.0,FRA,26.6,208014,Rinky Hijikata,R,178.0,AUS,22.5,6-3 6-2,3,R32,95.0,1.0,2.0,62.0,39.0,28.0,10.0,9.0,2.0,4.0,0.0,2.0,56.0,32.0,15.0,10.0,8.0,2.0,7.0,84.0,722.0,72.0,769.0
Hard,A,207494,Dalibor Svrcina,R,178.0,CZE,20.9,104810,Zhe Li,R,183.0,CHN,36.9,6-4 6-3,3,R32,91.0,1.0,1.0,51.0,40.0,30.0,7.0,9.0,7.0,8.0,4.0,0.0,53.0,25.0,17.0,14.0,10.0,1.0,5.0,167.0,378.0,602.0,55.0
Hard,A,144869,Tomas Martin Etcheverry,R,196.0,ARG,24.1,106291,Luke Saville,R,188.0,AUS,29.7,6-4 6-4,3,R32,121.0,4.0,1.0,51.0,29.0,26.0,16.0,10.0,1.0,1.0,6.0,2.0,83.0,51.0,35.0,13.0,10.0,9.0,11.0,35.0,1285.0,313.0,176.0
Hard,A,106415,Yoshihito Nishioka,L,170.0,JPN,27.9,209279,Terence Atmane,L,193.0,FRA,21.6,0-6 6-4 6-2,3,R32,115.0,1.0,2.0,70.0,49.0,29.0,15.0,12.0,2.0,5.0,10.0,4.0,72.0,45.0,34.0,11.0,12.0,1.0,4.0,46.0,1025.0,149.0,417.0
Hard,A,144750,Lloyd Harris,R,193.0,RSA,26.5,106210,Jiri Vesely,L,198.0,CZE,30.1,6-4 6-2,3,R32,70.0,19.0,2.0,42.0,28.0,26.0,10.0,9.0,0.0,0.0,8.0,5.0,47.0,27.0,20.0,8.0,9.0,1.0,4.0,162.0,392.0,300.0,184.0
Hard,A,106426,Cristian Garin,R,185.0,CHI,27.3,212044,Yi Zhou,R,193.0,CHN,18.5,4-6 6-4 6-2,3,R32,142.0,8.0,9.0,81.0,41.0,36.0,21.0,14.0,7.0,9.0,10.0,3.0,75.0,44.0,30.0,18.0,14.0,2.0,6.0,102.0,596.0,903.0,18.0
Hard,A,104918,Andy Murray,R,190.0,GBR,36.3,202168,Ye Cong Mo,R,183.0,CHN,23.2,7-5 6-3,3,R32,102.0,10.0,1.0,74.0,49.0,39.0,14.0,11.0,5.0,5.0,1.0,3.0,57.0,36.0,26.0,9.0,10.0,1.0,3.0,41.0,1075.0,668.0,46.0
Hard,A,106234,Aslan Karatsev,R,185.0,RUS,30.0,208286,Matteo Arnaldi,R,185.0,ITA,22.5,6-7(5) 7-6(5) 6-2,3,R32,189.0,17.0,9.0,95.0,60.0,50.0,20.0,16.0,2.0,4.0,7.0,4.0,126.0,78.0,52.0,24.0,16.0,7.0,11.0,63.0,853.0,48.0,983.0
Hard,A,117360,Marc Polmans,R,188.0,AUS,26.3,208013,Dane Sweeny,R,170.0,AUS,22.5,6-3 6-1,3,R32,92.0,9.0,2.0,47.0,36.0,30.0,5.0,8.0,2.0,2.0,0.0,3.0,51.0,24.0,15.0,10.0,8.0,2.0,6.0,152.0,410.0,247.0,249.0
